Title ID	Name	Author	Version	Last direct link	Readme Link
PS3001	RetroArch.PS3.CEX	RetroArch	1.7.4	https://xbins.org/libretro/stable/1.7.4/playstation/ps3/RetroArch.PS3.CEX.PS3.pkg	https://www.retroarch.com/?page=platforms#
PS3002	RetroArch.PS3.DEX	RetroArch	1.7.4	https://xbins.org/libretro/stable/1.7.4/playstation/ps3/RetroArch.PS3.DEX.PS3.pkg	https://www.retroarch.com/?page=platforms#
